     13 中文	台灣
      1 居住在屏東魯凱族部落的拉弗和舞邦	以其傳統文化中的
      1 尼泊尔	菲律宾
      1 尼日利亚	南非
      1 就這家最特別	yam蕃薯藤新聞
      1 就聲請人祁家威及臺北市政府同性婚姻釋憲案	進行言詞辯論
      1 就應在法律上給予一定的權益保障	不過蔡英文在競選期間並無特別強調此議題
      1 就同性婚姻召開辯論	並在8月2日宣佈判決
      1 就值得有個家	支持
      1 尤美女立委版本	折衷不動民法972條
      1 尤美女漫漫30年長路	中央社
      1 尤美女委員最後敲定加開兩場公聽會後擇期再審	2016年11月25日起
      1 尤美女委員提出民法修正版同性婚姻法案	並完成一讀送入司法委員會
      1 尤美女二位召委於11月24日及28日分別召開一場公聽會	之後再予審查
      1 尤美女	鄭麗
      1 尤美女	段宜康
      1 尤美女	楊雅惠
      1 尚寢處如伉儷	袁枚
      1 少者為契弟	其兄入弟家
      1 小段槓老柯	許毓仁轟自家人
      1 小學及以下僅18	1
      1 對立法院內司法委員會正在審議的民法修改案表達不滿	下午兩點左右人
      1 對的人為什麼不能做對的事	報導者
      1 對此議題	馬英九責成秘書長曾永權組成專案小組
      1 對此主辦方之一的	趙曉音牧師表示同婚人士都是演的
      1 對同性婚姻的團體都陸續動員支持者上街遊行表達自己的訴求	37
      1 尊重同性戀同居	丁守中
      1 尊重	馬英九說
      1 專法方向	進行
      1 專家發言	影片與逐字稿
      1 將費時兩年起草的	多元成家立法草案
      1 將台灣第一部由民間自主起草的多元家庭民法修正草案送進立法院	當中的部分內容如下
      1 將兩性用語全部移除	與中華民國傳統中的親屬人倫觀念嚴重不合
      1 將交付司法法制委員會審查	34
      1 封面故事	遭妻告通姦
      1 导航菜单	个人工具
      1 导航	首页
      1 导出	下载为PDF
      1 寮國	尼泊尔
      1 實行民事結合或註冊伴侶關係	安道爾
      1 密歇根	明尼蘇達
      1 宾夕法尼亚	波多黎各
      1 家庭結構完全崩壞	父母用詞改雙親一雙親二
      1 家庭成員	權利條文
      1 家庭制度	需要更多對話溝通
      1 家庭健不健康	則是社會會不會產生動亂的要素
      1 家庭	全民決定
      1 家屬制度草案	給予不限性別的兩人以上的人士以共同居住為要件
      1 家屬制度草案	80
      1 家屬制度尚未提案	81
      1 宣布現行民法沒有保障同志婚姻違憲	62
      1 宣布现行	民法
      1 宣告現行民法不允許同性結婚違憲	須於
      1 宣告戰場將回歸立法院	期待立法院儘速通過婚姻平權
      1 宣傳	全台家長站出來捍衛下一代幸福
      1 宜蘭縣政府	所有條文
      1 宜蘭县	79
      1 官聲請同性婚姻釋憲	49
      1 官秀琴落海事件	輔大心理系性侵事件
      1 官秀琴	夏林清
      1 宗華教信聯盟	政治團體
      1 宗教團體	同光同志長老教會
      1 宗教團體	台灣基督長老教會
      1 完成一讀送交黨團協商	58
      1 宋佳倫	陳敬學
      1 安道爾	比利时
      1 安道爾	捷克
      1 安定力量聯盟	台
      1 安定力量	社會團體
      1 安大略	愛德華王子島
      1 學生運動	食品安全運動
      1 學歷愈高	愈沒有明確宗教信仰者
      1 孫繼正	李天柱
      1 存档日期2015	12
      1 存档于2016	09
      1 字词转换	IRC即时聊天
      1 子女教育	父母決定
      1 子女同志	No
      1 子不語	閩俗原為聘男子為契弟之說
      1 媒體改革運動	勞工運動
      1 媒體	風向新聞
      1 媒體	風傳媒
      1 婦女權益促進發展基金會	女書店
      1 婦女新知基金會	同志人權法案遊說聯盟
      1 婦女新知基金會	2016年2月4日行政院公民投票審議委員會聽證會
      1 婦女救援基金會	婦女新知基金會
      1 婚姻議題未在媒體上多見琢磨	同志遊行在2006年選擇了
      1 婚姻私有化	英语
      1 婚姻平權遊行	要國民黨踹共
      1 婚姻平權議題正式浮上檯面	雖然台灣自2003年開始就有每年舉辦的同志遊行
      1 婚姻平權議題再度受到討論	立法院包含民進黨
      1 婚姻平權草案	會中立委意見分歧
      1 婚姻平權與同性婚姻法制化的民法親屬	繼承篇部分條文修正案一讀通過
      1 婚姻平權綠內部民調	30歲以下近8成支持
      1 婚姻平權立委連線	邀請立委候選人允諾進入立法院後
      1 婚姻平權立委連線	新頭殼
      1 婚姻平權立委連線	53
      1 婚姻平權異見多	正反雙方街頭見
      1 婚姻平權法案於2013年10月25日由鄭麗君立委代為提案	在立法院一讀通過
      1 婚姻平權法案一讀通過	政治
      1 婚姻平權法案	编辑
      1 婚姻平權法案	在2016年隨著第八屆
      1 婚姻平權法案	3
      1 婚姻平權法案	2017年
      1 婚姻平權有進步	也期待盡快修法
      1 婚姻平權最新民調	挺同反同勢均力敵
      1 婚姻平權初審過關	同婚修法大事紀看這裡
      1 婚姻平權再進一步	陳美伶
      1 婚姻平權公益演唱會集結眾多明星歌手為婚姻平權獻唱	希望能喚醒外界重視婚姻平權法案
      1 婚姻平權公益演唱會	團體
      1 婚姻平權修法	台灣民意民調
      1 婚姻平權	表達支持多元成家的意願
      1 婚姻平權	的民眾
      1 婚姻平權	法案逼出了台灣社會隱藏已久的
      1 婚姻平權	民法修正
      1 婚姻平權	民法
      1 婚姻平權	四個大字
      1 婚姻平權	含同性婚姻
      1 婚姻平權	含同性
      1 婚姻平權	伴侶多元
      1 婚姻平權	並交付司法及法制委員會審查
      1 婚姻制度的健康	是家庭健康的要素
      1 婚姻	草案
      1 婚姻	家庭
      1 婚姻	及
      1 威爾斯	苏格兰
      1 威明堂	白海豚媽祖宮
      1 威斯康辛	西弗吉尼亚
      1 委許毓仁及民進黨立委尤美女等人	分別提出有關婚姻平權的民法修正草案
      1 委内瑞拉	大洋洲
      1 始見於2012年12月18日	由尤美女立法委員提案並一讀通過
      1 如果发现倒数时间不准确	请刷新页面缓存
      1 如有任何其他相關版本之法律提案	亦將併案協商
      1 如同支持	言論自由
      1 她的父母皆歿	兄長便幫
      1 她支持這項修法	103
      1 她找了一位女性在一起	明媒正娶地把她娶進門
      1 女生跟女生很親密的	稱為
      1 女權火照夜路大遊行	台灣國際女性影展
      1 女權	事件
      1 女書店	台灣女性影像學會
      1 女人連線反性騷擾大遊行	女權火照夜路大遊行
      1 女	17
      1 奧地利	阿尔巴尼亚
      1 奧地利	列支敦士登
      1 奥尔德尼	泽西
      1 奥地利	中華民國
      1 契兄弟	8
      1 奇瓦瓦州	格雷罗州
      1 夫妻關係的家庭組成外	現代社會中還有很多不同的家庭組成方式
      1 天宙和平統一家庭黨	中華世界大同幸福勞動聯盟
      1 大马简体	新加坡简体
      1 大陆简体	香港繁體
      1 大谷部落排灣族曾將男生跟男生同住一起	稱為
      1 大致有	移除兩性用語
      1 大洋洲同性結合	英语
      1 大洋洲	澳大利亚
      1 大法官針對同婚釋憲	宣告現行民法不允許同性結婚違憲
      1 大法官釋字第	478
      1 大法官第748號解釋文公布後	下一代幸福聯盟推動同婚
      1 大法官會議決議不受理	性別人權協會
      1 大法官宣布现行民法相关条文违宪	要求立法机关两年内修法保障同性结合的权利
      1 大桃阿嬤	李元貞
      1 大抵上以基督教靈糧堂	基督教新店行道會
      1 大家上街支持婚姻平權	2016年11月30日
      1 大學	及以上有71
      1 多陪一哩路	MeToo大遊行
      1 多名同婚人士被打傷並驗傷報警	106
      1 多元的社會與	性別都真實存在於生活週遭
      1 多元成家面面觀	體制外的生命故事
      1 多元成家草案於2013年10月25日在立法院一讀通過後	時任國民黨立委的林滄敏表示
      1 多元成家草案	一知半解
      1 多元成家草案	34
      1 多元成家立院通關	看法兩極
      1 多元成家立法草案	送進立法院
      1 多元成家立法草案	性別變更登記
      1 多元成家立法草案	外部連結
      1 多元成家立法草案	台灣伴侶權益推動聯盟於2010年開始研究已通過同志伴侶權益保障的各國法律以及運動
      1 多元成家立法草案	並就現行
      1 多元成家立法草案	2016年
      1 多元成家爭議大	需更多對話
      1 多元成家方案	同性婚姻的絆腳石
      1 多元成家三案並行	编辑
      1 多元成家三案並行	3
      1 多元成家	正反方下午拚場
      1 多元成家	我支持
      1 多元成家	如同支持
      1 多元成家	修正草案
      1 多元家庭就是要打破過去婚姻為一男一女的限制	她支持這項修法
      1 多元家庭	朝向親密關係民主化的立法運動
      1 多元包容想法	他希望國民黨對此議題一定要包容
      1 外部連結	编辑
      1 外部連結	歷史
      1 外部版	glrslaw
      1 夏林清	查
      1 夏威夷	Taiwan
      1 士擔心法制化後危及現行婚姻概念	故大力反對以修改
      1 士也在立法院外排出	婚姻平權
      1 壓迫或特權	由婚姻與親職看法律中的異性戀父權與特權
      1 墨西哥城	金塔納羅奧州
      1 墨西哥城	瓦哈卡
      1 墨西哥	9
      1 墨	認可非註冊同居關係
      1 增列第二項規定同性婚姻	蔡易餘立委版本
      1 塞浦路斯	捷克
      1 塞浦路斯	希腊
      1 塞尔维亚	斯洛伐克
      1 報院	19
      1 報導者	走入同志家庭4
      1 報導者	2017
      1 報導	當天活動人潮蔓延四公里
      1 基督教新店行道會	部分長老教會與天主教會人士等為主要核心
      1 基督教今日報	代表人物
      1 基督天主教徒32	贊成修民法
      1 基本制作共同主辦的	讓生命不再逝去
      1 基本人權	活動有約兩萬名支持修改民法的群眾聚集在立
      1 基本人權	民法不修
      1 基於法案遭立法院擱置	無法有所進展
      1 執政民主進步黨控制的立法院一讀通過	民法
      1 坤達	柯佳嬿
      1 坎佩切州	科利马州
      1 地投下反對票	87
      1 在總統府上投出歷年因同志身分自殺或受暴致死的同性戀者姓名	與
      1 在立法院院會藍綠互不擋案的情況下	順利通過一讀交付委員會審查
      1 在立法院一讀通過	婚姻平權
      1 在當前社會也是世代問	題
      1 在明年啟動朝野協商之前	如有任何其他相關版本之法律提案
      1 在收到承諾書後不願回覆	51
      1 在成為總統後	把此議題交由
      1 在情報相對明朗之後進行編輯更新	中華民國國旗
      1 在國民黨和民進黨支持者無明顯差別	近於總體數字
      1 在問及同志生育或領養子女的態度時	贊成者為40
      1 在同月20日	由於賴士葆
      1 在同性結合時也能適用	並沒有要求比兩性婚姻任一方更多的權利
      1 在其個人臉書上	有不認識的網友做出死亡威脅
      1 在其他项目中	维基共享资源
      1 在2016年隨著第八屆	第九屆立法委員的更替回到原點
      1 圣马丁岛	聖巴
      1 圣赫勒拿	阿森松和特里斯坦
      1 圣皮埃尔和密克隆群岛	法属南方和南极洲领地以及国有荒岛克利珀顿岛
      1 團體	臺灣同志諮詢熱線協會
      1 團體	日日春關懷互助協會
      1 團體	勵馨基金會
      1 國際火炬先鋒事奉關懷協會	以勒禱告祭壇
      1 國親未出席	64
      1 國立臺灣大學法律學研究所	2008
      1 國民黨許毓仁投下贊成票	原先長期支持婚姻平權的民進黨尤美女
      1 國民黨許毓仁以及時代力量各提出一個民法修正草案	然而於11月17日的召開司法委員會審案中
      1 國民黨內的意見不一	多元成家草案於2013年10月25日在立法院一讀通過後
      1 國民黨	親民黨
      1 國民黨	時代力量在內部分立委宣告將再次推動婚姻平權法案
      1 國民黨	133
      1 國家通訊傳播委員會	NCC
      1 國內各方反應	编辑
      1 國內各方反應	4
      1 國人對同性戀看法民調	122
      1 國人對同性婚姻合法化看法調查	123
      1 国家	自治领均依照通过时间先后顺序排列
      1 固定链接	页面信息
      1 因遭受立委多數反對	此後相關法案沉寂一時
      1 因縣市註記並無相關法律或法令依據	所以在實務上許多醫院仍然拒絕承認同性伴侶戶政
      1 因為年輕人更容易接受同志人權	多元包容想法
      1 因此草案無法通過一讀會程序	必須退回程序委員會審議
      1 因此草案無法通過一讀會程序	必須退回程序委員會審
      1 因此同性婚姻合法	这些海外大区有
      1 因尚有雲林縣	澎
      1 回答林靜儀委員法務部的方針乃是依循2015年的既定方向朝向立	同志伴侶法
      1 回	法務部表示該公投標的有違憲和侵害立法權之虞
      1 四個大字	希望反同勢力不要再妖魔化婚姻平權法案
      1 嘉義市政府	同性伴侶註記
      1 嘉義市	75
      1 問及合法領養子女的權利時	58
      1 問卷題目	就這家最特別
      1 哥斯达黎加	未
      1 哥斯达黎加	古巴
      1 哥倫比亞特區	佛罗里达
      1 哥倫比亞	芬蘭
      1 哥伦比亚	厄瓜多爾
      1 哈里斯	酷新聞
      1 哈利斯科州	坎佩切州
      1 咸往禱焉	9
      1 和维基百科标志是维基媒体基金会的注册商标	维基
      1 呂錦花	呂秀蓮
      1 呂秀蓮	彭婉如
      1 呂欣潔	祁家威
      1 呂欣潔	宋佳倫
      1 吸	引超過二十五萬人現身參與
      1 吳馨恩	蕭銘偉
      1 含同性婚姻	草案
      1 含同性	婚姻
      1 君	林淑芬發言表示贊同
      1 向臺北高等行政法院提起行政訴訟	25
      1 向社會大眾傳達他們相挺婚姻平權的立場	這次音樂會已成為台灣史上最多人民參與的性別平權活動
      1 向戶政機關辦理結婚之登記	並在登記的兩人之間發生法律上配偶的效力
      1 名字空间	条目
      1 同步解讀解釋文	大法官針對同婚釋憲
      1 同時身為靈糧堂牧師的前監察院院長王建煊也在1	1月30日反同性婚姻遊行中表示婚姻制度非常重要
      1 同時有超過七十位藝人透過影像	於現場播
      1 同時委員會內國民黨全面杯葛此案要求再度召開公聽會	主席
      1 同時	立法院外聚眾的
      1 同時	支持同性婚姻的大約500名人
      1 同性結合離婚	英语
      1 同性結合關係歷史年表	非洲同性結合
      1 同性結合訴訟	英语
      1 同性結合與軍方政策	英语
      1 同性結合立法	英语
      1 同性戀者得依法組成家庭及收養子	女
      1 同性戀得先當伴侶	結婚再等等
      1 同性戀原本就是自然	何來所謂開放
      1 同性婚姻釋憲案	2018年
      1 同性婚姻釋憲	大法官會議決議不受理
      1 同性婚姻訴訟案	法院將聲請釋憲
      1 同性婚姻行不行	公視
      1 同性婚姻的絆腳石	論伴侶盟的策略失誤
      1 同性婚姻法案	法務部反對
      1 同性婚姻法	立法攻防戰展開
      1 同性婚姻民調結果發佈記者會	新聞稿
      1 同性婚姻應交付公投	台灣守護家庭
      1 同性婚姻影響層面恐比服貿協議還大	應多舉辦幾次公聽會討論
      1 同性婚姻專章	以及其他婚姻相關修正條文
      1 同性婚姻合法化	一讀通過付委
      1 同性婚姻合法化	109
      1 同性婚姻及同志收養議題公聽會	專家發言
      1 同性婚姻及同志收養議題	公聽會會議紀錄
      1 同性婚姻不直接修改民法	會以其他形式讓其釋字第748號釋憲案得以實
      1 同性婚姻不直接修改民法	會以其他形式讓其釋字第748號釋
      1 同性婚姻	北市將提釋憲
      1 同性婚姻	到
      1 同性婚姻	Yes
      1 同性伴侶關係註記	www
      1 同性伴侶註記	编辑
      1 同性伴侶註記	FAQ
      1 同性伴侶註記	3
      1 同性伴侶所內註記作業方式	ca
      1 同性伴侶所內註記	2016
      1 同性伴侶可以登記取得類似配偶的身分	但享
      1 同性伴侶可以合法結婚	為35
      1 同性伴侶也可簽	中央通訊社
      1 同性伴侶下月可跨區註記	5縣市未開放
      1 同性伴侶	關係
      1 同性伴侶	註記
      1 同志遊行在2006年選擇了	一同去家遊Go
      1 同志跟不同性傾向的人	也都希望能享有平等生活
      1 同志議題是人權問題	也是文化問題
      1 同志諮詢熱線	台灣同志人權法案遊說聯盟
      1 同志結婚遭駁回	祈家威聲請釋憲
      1 同志生育	領養子女的權利
      1 同志有權結婚	蘋果日報
      1 同志教育就是愛滋的罪魁禍首	我們尊重2性的平等互重
      1 同志擁有婚姻追求權	民報
      1 同志家庭權益促進會	婦女新知基金會
      1 同志婚姻釋憲無望	自由時報
      1 同志婚姻合法化	最新調查
      1 同志大遊行	訴求革命婚姻多元伴侶
      1 同志團體自2012年起積極推動	多元成家立法草案
      1 同志伴侶祝福儀式	17
      1 同志伴侶祝福儀式	16
      1 同志伴侶法	專法方向
      1 同志人權運動者祁家威具狀聲請同性婚姻釋憲	2001年5月18日
      1 同志人權法案遊說聯盟	Queermosa
      1 同年衛	生福利部表示
      1 同婚釋憲結果	民法違憲
      1 同婚釋憲案言詞辯論庭紀實	對的人為什麼不能做對的事
      1 同婚邁向法制化	尤美女漫漫30年長路
      1 同婚修法大事紀看這裡	聯合報
      1 同光教會首屆	同志伴侶祝福儀式
      1 同光同志長老教會舉行華人教會史上第一次的	同志伴侶祝福儀式
      1 同光同志長老教會	臺灣性別不明關懷協會
      1 同光同志長老教會	民主進步黨
      1 各大報出現篇幅不一的報導或廣告指稱	愛滋病患年輕化增加健保負擔
      1 各以其類相結	長者為契兄
      1 各30秒	分別在民視
      1 吃不到的同志伴侶權	蘋果日報
      1 司法院释字第748号解释	司法院大法官釋字第748號解釋
      1 司法院聲明依此立法原則所審議完成之法律	仍屬法律位階
      1 司法院秘書長公布大法官釋字第	748
      1 司法院大法官釋字第748號解釋	查
      1 司法院大法官召開憲法法庭	就聲請人祁家威及臺北市政府同性婚姻釋憲案
      1 司法院大法官以	核其所陳
      1 司法院公布釋字第748號解釋文	宣布现行
      1 司法改革運動	媒體改革運動
      1 司法影音網	62
      1 司法及法制委員會排審	婚姻平權草案
      1 史上首次在國會審議婚姻平權法案	不過法務部對於同性婚姻法案持反對態度
      1 台灣首次的婚姻平權法案提出發生於2006年10月11日	由民進黨立法委員蕭美琴提出
      1 台灣首場同志婚禮	中國時報
      1 台灣醒報	2017
      1 台灣親子共學教育促進會	人本教育基金會
      1 台灣舉辦同性婚姻公聽會正反方意見交鋒	台海網
      1 台灣社會變遷基本調查計畫第六期第三次調查計畫執行報告	125
      1 台灣社會變遷基本調查計畫第七期第一次調查計畫執行報告	PDF
      1 台灣社會變遷基本調查計畫	124
      1 台灣法院就同性結婚申請釋憲	BBC中文網
      1 台灣法律夾縫下的女女親密關係	國立臺灣大學法律學研究所
      1 台灣民意民調	56
      1 台灣民意基金會民調	反同民眾56
      1 台灣民意基金會	138
      1 台灣民意基金會	135
      1 台灣正體	视图
      1 台灣本地就存有兩女結婚的紀錄	據
      1 台灣智庫十一月民調記者會	會後新聞稿
      1 台灣智庫	47
      1 台灣新聞動態	臺灣同性婚姻
      1 台灣性別人權協會	研考會民調
      1 台灣性別人權協會	2015
      1 台灣宗教團體愛護家庭大聯盟發言人	統一教副協會長張全鋒表示
      1 台灣宗教團體愛護家庭大聯盟	下一代幸福聯盟
      1 台灣守護家庭	網站
      1 台灣女性影像學會	社運者
      1 台灣基督長老教會	台灣信義會
      1 台灣團結聯盟各有若干候選人支持	發動
      1 台灣國際酷兒影展	愛最大
      1 台灣國際女性影展	多陪一哩路
      1 台灣同志遊行聯盟	第十屆台灣同志遊行10
      1 台灣同志遊行以	革命婚姻
      1 台灣同志家庭權益促進會	婦女新知基金會
      1 台灣同志人權法案遊說聯盟	同志家庭權益促進會
      1 台灣公民權團結組織	愛台灣久久久
      1 台灣全國媽媽護家護兒聯盟	東台灣守護幸福家庭行動聯盟
      1 台灣內政部首次承認跨性別婚姻登記	BBC
      1 台灣信義會	新店行道會
      1 台灣伴侶權益推動聯盟於2010年開始研究已通過同志伴侶權益保障的各國法律以及運動	並於2012年7月推出多元成家立法草案包括
      1 台灣伴侶權益推動聯盟	晶晶書庫
      1 台灣伴侶權益推動聯盟	同志諮詢熱線
      1 台灣伴侶權益推動聯盟	伴侶盟
      1 台灣伴侶權益推動聯盟	125
      1 台灣人權促進會	伴侶盟
      1 台灣人權之路與同	跨
      1 台灣人權	性別平等教育法
      1 台灣主题	A
      1 台灣不是基督教神權國家	reader
      1 台灣	请检查
      1 台灣	永久失效連結
      1 台灣	人權保障基本法
      1 台灣	87
      1 台灣	86
      1 台灣	85
      1 台灣	63
      1 台灣	24
      1 台灣	14
      1 台灣	119
      1 台灣	111
      1 台灣	110
      1 台灣	107
      1 台灣	106
      1 台海網	2013
      1 台北市訴願審議委員會予以維持原處	分
      1 台中水利會廣場	高雄夢時代廣場等地同步舉辦
      1 台	灣全國媽媽護家護兒聯盟
      1 可適用服務辦法	配偶
      1 可修民法	另外想辦法
      1 可依民法婚姻章的規定	持兩人以上證人簽名之
      1 只要是個人	就值得有個家
      1 只要是人就值得有個家	聯合新聞網
      1 只要不涉及修法與第三人權益的事項提前開放	68
      1 只有時代力量出席立委	民進黨段宜康
      1 只承认荷兰联合王国境内实行的同性婚姻	8
      1 只承认墨西哥合众国境内实行的同性婚姻	10
      1 只承認實行同性婚姻的墨西哥州份中的同性婚姻	LGBT主題
      1 只恨看不見	台灣法律夾縫下的女女親密關係
      1 只因	反對勢力上街
      1 另有東台灣守護幸福家庭行動聯盟	簡稱東福盟
      1 另外想辦法	由於其廣告內容爭議巨大且有所不實
      1 另外在民進黨內部	已通過中央黨部黨務工作人員
      1 另外台北高等行政法院和臺北市政府也分別將向大法	官聲請同性婚姻釋憲
      1 另外兩套伴侶制	度
      1 古巴	萨尔瓦多
      1 古亭基督長老教會	媒體
      1 受祁家威委任	正式將同性伴侶登記結婚一案送交大法官釋憲
      1 取自	https
      1 反方約八千人左右	早上九時起反對方發生暴力行為
      1 反方人士憤而轉向凱達格蘭大道繼續抗議	101
      1 反對連署	其中陳銀河同時加入贊成連署與反對連署
      1 反對者與其主張	编辑
      1 反對者與其主張	4
      1 反對者52	2013年4月
      1 反對組織眾多	絕大多數的組織都有宗教背景
      1 反對的聲音主要認為同性婚姻將破壞他們所認定的家庭倫理	例如真愛聯盟主張一個家庭必需
      1 反對為同婚修法	幸福盟
      1 反對方	政黨
      1 反對同性婚姻的主力	為什麼來自基督教
      1 反對同性婚姻的	下一代幸福聯盟
      1 反對勢力上街	蘋果日報
      1 反對修民法	139
      1 反對人士上街頭遊行	代表
      1 反對	中評社
      1 反對	不贊成
      1 反对人	士擔心法制化後危及現行婚姻概念
      1 反多元成家公投	遭政院公審會駁回
      1 反多元成家	王建煊今參加遊行
      1 反同民眾56	超越挺同
      1 反同婚民意暴漲	問卷題目
      1 反同勢力的恐慌也壓縮理性討論空間	聯盟希望把焦點拉回對人權議題的關注
      1 及關注此議題的中常委參與	研擬妥適的政策方向
      1 及第	7
      1 及以上有71	8
      1 及	家庭成員
      1 及	家屬制度草案
      1 參見	臺灣同性婚姻釋憲案
      1 參見	同性結合立法
      1 參與人數破萬人	2013年9月
      1 參考文獻	编辑
      1 參考文獻	7
      1 参考文献应符合正确的引用	脚注及外部链接格式
      1 原本規模最大者為唯一具有跨宗教色彩的台灣宗教團體愛護家庭大聯盟	簡稱護家盟
      1 原始内容存档于2017年3月26日	96
      1 原始内容存档于2017	08
      1 原始内容存档于2017	06
      1 原始内容存档于2017	04
      1 原始内容存档于2016年4月22日	94
      1 原始内容存档于2016	08
      1 原始内容存档于2015	05
      1 原始内容存档于2014	12
      1 原始内容存档于2013	01
      1 原始内容	PDF
      1 原先長期支持婚姻平權的民進黨尤美女	蕭美琴與林靜儀均意外
      1 原來我們是次等公民	131
      1 原住民族運動	農民運動
      1 厄瓜多爾	巴拉圭
      1 厄瓜多爾	匈牙利
      1 卻遭部分國民黨委員的強烈杯葛以及部分民進黨立委	的臨陣倒戈
      1 卻遭	下一代幸福聯盟
      1 即使下午降下大雨	仍不減群眾熱情
      1 印第安部落	南美
      1 印第安纳	艾奥瓦
      1 南韓	北韓
      1 南非	挪威
      1 南非	亞洲
      1 南美	阿根廷
      1 南卡罗来纳	德克萨斯
      1 南乔治亚岛和南桑威奇群岛	亞克羅提利與德凱利亞
      1 協商階段	反方人士憤而轉向凱達格蘭大道繼續抗議
      1 北马里亚纳群岛	波多黎各和美属维尔京群岛以及美国
      1 北韓	寮國
      1 北美	阿鲁巴
      1 北爱尔兰	英
      1 北市將提釋憲	中央社
      1 北卡罗来纳	俄亥俄
      1 匈牙利	法國
      1 匈牙利	奧地利
      1 包含教育篇	稱謂篇兩支廣告
      1 勵馨接住你	團體
      1 勵馨基金會	婦女救援基金會
      1 勞工運動	人權運動
      1 努納武特	育空
      1 加拿大	阿尔伯塔
      1 加拿大	南非
      1 加州	科罗拉多
      1 力推婚姻平權	伴侶盟推
      1 力挺同志大遊行	蔡英文
      1 創全國先例	高雄開放同志伴侶註記
      1 前總統馬英九認為	同性婚姻影響層面恐比服貿協議還大
      1 前總統李登輝被記者問及對此的態度是表示	我是基督徒
      1 前往	导航
      1 前副總統呂秀蓮也說	社會逐漸開放
      1 則有71	8
      1 則是社會會不會產生動亂的要素	他
      1 到了同志婚姻與婚禮	46
      1 到	多元家庭
      1 別研究室	手天使
      1 判決和安全考量下	於2013年1月23日撤銷告訴
      1 初審通過	蘋果日報
      1 创建账户	登录
      1 列支敦士登	立陶宛
      1 列支敦士登	克羅地亞
      1 分类索引	特色内容
      1 分类	台灣新聞動態
      1 分別為	尤美女立委版本
      1 分別於11月17日以及11月28號舉辦	2016年11月
      1 分別提出有關婚姻平權的民法修正草案	在立法院院會藍綠互不擋案的情況下
      1 分別在民視	TVBS
      1 分之一	而且承認同性婚姻且共同收養子女
      1 分	2012年
      1 出席的民眾半數以上為青年面孔	亦從中可看婚姻平權議題廣受年輕選民的支持
      1 出即	使晚間受天候影響
      1 出	向社會大眾傳達他們相挺婚姻平權的立場
      1 凱道25萬人挺同婚	主辦
      1 凡偷期密約	有所求而不得者
      1 冰島	愛爾蘭
      1 冰岛	阿根廷
      1 再論同性婚姻的民調問題	2016年12月2日
      1 内华达	新罕布什爾
      1 其餘發言的立法委員	段宜康
      1 其餘大多數團體如真愛聯盟	下一代幸福聯盟
      1 其相愛者	年過而立
      1 其父母的應繼分即僅各為遺產的三	分之一
      1 其父母就完全喪失繼承權	相關法規如果須配合同性婚姻法案而修正其用語
      1 其實我們都一樣	演唱會精華整理
      1 其實我們都一樣	婚姻平權公益演唱會集結眾多明星歌手為婚姻平權獻唱
      1 其實我們都一樣	婚姻平權公益演唱會
      1 其它意見亦指該公投非單一事項	邏輯上複合問句謬誤
      1 其它意見亦指出反對陣營張冠李戴	把多元
      1 其兄入弟家	弟之父母撫愛之如婿
      1 其他语言	العربية
      1 其他反對同志婚姻平權的理由	大致有
      1 其中更以基督教右派為主	原本規模最大者為唯一具有跨宗教色彩的台灣宗教團體愛護家庭大聯盟
      1 其中將在醫療法關係人	伴侶的後面加註
      1 其中20到29歲年齡層	有高達84
      1 关岛	夏威夷
      1 关岛	北马里亚纳群岛
      1 关于维基百科	资助维基百科
      1 关于维基百科	免责声明
      1 共計6案	最終完成兩案審議
      1 共號召二十三組藝人登臺獻藝	表達他們對於同志婚姻平權的支持
      1 共推	婚姻平權立委連線
      1 共同生活	的意願
      1 公開舉行臺灣首場同性婚禮	重量級藝文界人士
      1 公視	2013
      1 公聽會開場	36
      1 公聽會會議紀錄	PDF
      1 公民新聞	2013
      1 公民投票法	規定之可公投要件
      1 公民投票法	相關規定
      1 公投連署企圖阻擋婚姻平權的信心希望聯盟	在收到承諾書後不願回覆
      1 公投提案	經行政院公投審議會上午審查後
      1 公娼抗爭	性交易政策
      1 公主漫步雲端	真愛聯盟綁架了國際家庭日
      1 兩小無猜條款	兒少法第29條修法
      1 兩個男子拜堂成親的風俗時有所聞	那時人們稱這種關係為
      1 全民決定	子女教育
      1 全案須送朝野協商	3
      1 全國戶政系統7月開放伴侶註記	風傳媒
      1 全國實行同性婚姻	荷兰
      1 全國中學學生權益研究會	社運者
      1 全台家長站出來捍衛下一代幸福	要求民眾於隔日到立法院表達心聲
      1 全台共計十七萬人次	108
      1 內註記實施計畫	PDF
      1 內政部出版	現代國民婚禮
      1 內政部出書倡新觀念	同志擁有婚姻追求權
      1 內容可能會快速更新	維基百科不是新聞的收集处
      1 入憲法的懷抱	同性婚姻及同志收養議題
      1 兒少法第29條修法	團體
      1 免责声明	开发者
      1 克羅地亞	智利
      1 克罗地亚	塞浦路斯
      1 兄長便幫	她找了一位女性在一起
      1 儀典	跨越頭目女兒與平民的身分階級差異
      1 傾向時代力量者	則有71
      1 傳達	婚姻平權
      1 傳會及婦女部	及關注此議題的中常委參與
      1 備註	1991年
      1 停止審查	交付公投
      1 值得注	意的是除未出席的立委以外
      1 倡婚姻平權	Nownews
      1 俱取辦於契兄	其相愛者
      1 修法同婚	贊成51
      1 修民	法
      1 修正草案	110
      1 修杰楷	賈靜雯
