      7 Kay	S	Hymowitz
      1 mushrooming	population	of
      1 multifaceted	tradition	of
      1 much	poorer	than
      1 much	more	specifically
      1 much	different	kinds
      1 much	about	this
      1 much	about	the
      1 Mrs	Paine	gave
      1 moves	into	the
      1 moves	into	her
      1 movement_666_400	jpg	from
      1 movement	insofar	as
      1 move	into	their
      1 mothers	scraping	together
      1 mothers	many	of
      1 mother	should	have
      1 Mother	s	Book
      1 mother	in	law
      1 mother	implored	I
      1 mother	had	called
      1 mother	and	I
      1 most	treasured	ideal
      1 most	thoughtful	and
      1 most	prized	for
      1 most	of	their
      1 most	of	American
      1 most	momentous	morally
      1 Most	important	republican
      1 most	cultures	give
      1 most	commonly	repeated
      1 mortgage	and	move
      1 mortgage	agreement	or
      1 mortality	rates	and
      1 Morning	After	in
      1 more	traditional	standards
      1 more	to	others
      1 more	theory	than
      1 more	than	a
      1 more	stable	domestic
      1 more	specifically	Their
      1 more	rights	over
      1 More	recently	the
      1 more	patriarchal	approach
      1 More	on	Other
      1 more	modern	idea
      1 more	in	favor
      1 more	In	case
      1 more	fully	expressed
      1 More	from	Kay
      1 more	demanding	than
      1 more	communal	societies
      1 more	attention	in
      1 more	and	knowing
      1 more	among	the
      1 more	accepted	in
      1 morally	fraught	decisions
      1 morality	must	be
      1 moral	rather	than
      1 moral	culture	This
      1 moon	landing	without
      1 monogamous	marriage	some
      1 momentousness	to	the
      1 momentous	public	vow
      1 momentous	morally	fraught
      1 mom	or	dad
      1 mom	and	apple
      1 mold	different	kinds
      1 modern	ideas	were
      1 modern	idea	to
      1 model	Widespread	divorce
      1 model	of	the
      1 miserable	but	also
      1 miscegenation	laws	They
      1 mirror	and	sustain
      1 minute	theory	of
      1 minorities	particularly	African
      1 minimalist	institution	people
      1 mind	was	better
      1 mind	that	American
      1 mind	should	be
      1 mind	American	theorists
      1 Miller	Peter	Reinharz
      1 might	call	republican
      1 Michael	Knox	Beran
      1 Michael	J	Totten
      1 message	may	be
      1 Message	Cancel	Send
      1 merging	family	fortunes
      1 merely	unfulfilled	came
      1 merely	seduce	her
      1 merely	material	being
      1 merely	commonsensical	But
      1 mere	sexual	attraction
      1 mere	passive	subjects
      1 mention	non	marriage
      1 meltdown	that	this
      1 meet	the	demands
      1 mechanism	by	which
      1 meant	citizenly	self
      1 means	of	establishing
      1 meaning	The	anthropologists
      1 mean	that	that
      1 McManus	Judith	Miller
      1 McGinnis	Bob	McManus
      1 may	be	routed
      1 matter	of	caste
      1 matter	it	has
      1 matrimonial	drafting	table
      1 material	being	The
      1 match	between	two
      1 master	coming	to
      1 Massachusetts	marriage	has
      1 masculinity_666_400	jpg	books
      1 Masculinity	Kay	S
      1 Martin	Luther	King
      1 Marryat	wrote	of
      1 Marryat	may	have
      1 marry	whomever	they
      1 marry	whom	they
      1 marry	whites	an
      1 marry	sometimes	they
      1 marry	rather	than
      1 marry	each	other
      1 marry	doesn	t
      1 marry	and	create
      1 married	their	child
      1 married	parents	in
      1 married	mothers	many
      1 married	But	it
      1 married	are	poor
      1 marriages	remained	the
      1 marriages	and	the
      1 marriage	would	reflect
      1 marriage	would	help
      1 marriage	would	best
      1 marriage	wasn	t
      1 marriage	was	simply
      1 marriage	was	not
      1 Marriage	was	becoming
      1 marriage	was	an
      1 marriage	to	tie
      1 marriage	to	get
      1 marriage	to	fit
      1 marriage	to	bolster
      1 marriage	threatens	to
      1 marriage	they	believed
      1 marriage	theorists	understood
      1 marriage	the	true
      1 Marriage	The	gay
      1 marriage	that	the
      1 marriage	that	marriage
      1 marriage	that	is
      1 marriage	than	those
      1 marriage	than	their
      1 marriage	strove	to
      1 marriage	some	accept
      1 marriage	So	what
      1 Marriage	Share	from
      1 marriage	seems	merely
      1 marriage	s	dedication
      1 marriage	represents	the
      1 marriage	remained	the
      1 marriage	rather	than
      1 marriage	provided	the
      1 marriage	proponents	generally
      1 marriage	over	the
      1 marriage	on	a
      1 marriage	not	to
      1 marriage	not	only
      1 marriage	mold	different
      1 marriage	led	inexorably
      1 marriage	laws	centered
      1 marriage	is	the
      1 Marriage	is	one
      1 marriage	is	intrinsically
      1 marriage	is	for
      1 marriage	is	both
      1 marriage	is	as
      1 marriage	is	another
      1 marriage	is	actually
      1 marriage	initiative	they
      1 marriage	in	a
      1 marriage	illustrates	this
      1 marriage	History	they
      1 Marriage	has	opined
      1 marriage	has	been
      1 marriage	has	anything
      1 marriage	has	always
      1 marriage	had	been
      1 marriage	gives	an
      1 marriage	from	the
      1 marriage	for	reasons
      1 marriage	family	and
      1 marriage	demonstrating	conclusively
      1 marriage	debate	If
      1 marriage	contracts	These
      1 marriage	comes	in
      1 marriage	cite	the
      1 marriage	child	rearing
      1 marriage	celebrated	self
      1 marriage	but	no
      1 marriage	but	advocates
      1 marriage	business	at
      1 marriage	both	necessary
      1 marriage	based	on
      1 marriage	as	any
      1 marriage	as	an
      1 marriage	As	Americans
      1 marriage	and	their
      1 Marriage	and	the
      1 marriage	and	gay
      1 marriage	advocates	use
      1 marriage	advocates	conclude
      1 marriage	a	non
      1 markedly	less	well
      1 marital	meltdown	that
      1 marital	exit	door
      1 marginalized	groups	gays
      1 many	ways	of
      1 many	studies	have
      1 many	state	law
      1 many	single	parent
      1 many	parts	of
      1 many	of	these
      1 many	of	their
      1 many	of	the
      1 Many	have	interpreted
      1 many	forms	is
      1 many	examples	the
      1 many	cultures	the
      1 Manhattan	Institute	Search
      1 Manhattan	Institute	for
      1 Manhattan	Institute	edited
      1 Man	Nicole	Gelinas
      1 man	masculinity_666_400	jpg
      1 man	is	something
      1 man	Chief	Justice
      1 Man	celebrates	the
      1 Man	Benjamin	Weingarten
      1 man	and	woman
      1 mammoth	undertaking	more
      1 malleable	social	construct
      1 Malanga	John	O
      1 makes	no	sense
      1 makes	gay	marriage
      1 make	up	the
      1 make	the	wife
      1 make	the	Reconstruction
      1 make	of	the
      1 maintaining	the	homestead
      1 Magnet	Steven	Malanga
      1 magazines	and	speeches
      1 Magazine	Topics	Arts
      1 magazine	ThemToo	Kay
      1 Magazine	put	it
      1 magazine	of	urban
      1 magazine	It	s
      1 magazine	Gay	Marriage
      1 Magazine	Books	Multimedia
      1 made	the	American
      1 Mac	Donald	Topics
      1 Mac	Donald	Myron
      1 M	Renn	Fred
      1 Lydia	Child	in
      1 Luther	King	you
      1 Loving	v	Virginia
      1 loving	self	determining
      1 loving	self	chosen
      1 loving	partners	and
      1 loves	liberty	had
      1 loves	his	servant
      1 lover	becomes	a
      1 love	which	developed
      1 love	relationship	Is
      1 love	match	between
      1 love	each	other
      1 love	could	transcend
      1 love	be	negotiated
      1 love	accustoms	us
      1 loosening	relationship	between
      1 loosened	and	Americans
      1 looking	longingly	through
      1 look	you	in
      1 look	at	that
      1 longingly	through	the
      1 longing	for	a
      1 longer	the	case
      1 London	1939	2018
      1 logo	print	svg
      1 logically	inescapable	gay
      1 logical	next	step
      1 logical	if	a
      1 loan	it	certainly
      1 lives	but	should
      1 lives	and	love
      1 lives	and	determine
      1 lived	reality	The
      1 live	up	to
      1 live	in	freedom
      1 little	over	a
      1 little	different	from
      1 Little	did	the
      1 likes	of	Raoul
      1 likes	especially	by
      1 likely	to	say
      1 likely	to	begin
      1 likely	that	republican
      1 like	Wilson	filled
      1 like	when	your
      1 like	this	denying
      1 Like	many	of
      1 like	Johnny	but
      1 like	James	Wilson
      1 light	of	this
      1 life	though	only
      1 life	the	Founders
      1 life	savings	to
      1 life	s	most
      1 life	in	the
      1 life	In	detaching
      1 life	Gay	marriage
      1 life	ford	kavanaugh
      1 life	and	death
      1 liberty	had	to
      1 liberty	by	nurturing
      1 liberty	and	self
      1 liberty	and	democratic
      1 Levittown	Though	most
      1 letting	gays	marry
      1 let	a	guy
      1 lessons	Some	cultures
      1 lesson	of	the
      1 less	well	on
      1 less	absolute	A
      1 Leo	Heather	Mac
      1 legitimacy	and	the
      1 legally	unconnected	Never
      1 legalized	gay	marriage
      1 legal	philosophers	and
      1 legal	innovations	as
      1 legal	in	every
      1 legacy	remembering	george
      1 led	to	civic
      1 led	inexorably	to
      1 least	under	some
      1 least	one	man
      1 least	likely	to
      1 learned	in	the
      1 laws	They	were
      1 laws	loosened	and
      1 laws	distinguishing	wed
      1 laws	centered	largely
      1 laws	and	ultimately
      1 law	The	Social
      1 law	jokes	Some
      1 Law	Institute	recommended
      1 law	have	to
      1 law	books	well
      1 law	be	updated
      1 law	asserted	in
      1 law	and	policy
      1 later	when	the
      1 later	a	Supreme
      1 late	twenties	and
      1 late	eighteenth	century
      1 late	1960s	when
      1 late	1960s	as
      1 last	resort	punishment
      1 last	resort	and
      1 larger	responsibilities	surrounding
      1 largely	on	the
      1 large	families	were
      1 languages	to	tell
      1 landing	without	irony
      1 laid	in	private
      1 L	Glaeser	Victor
      1 Kotkin	John	Leo
      1 Knox	Beran	Claire
      1 knows	the	personal
      1 knows	parents	with
      1 knowing	from	personal
      1 Knowing	firsthand	what
      1 know	enough	to
      1 Klavan	Joel	Kotkin
      1 kitchen	table	and
      1 King	you	have
      1 kinds	of	marriage
      1 kinds	of	individuals
      1 kinds	of	families
      1 kinder	gentler	discipline
      1 kind	of	natural
      1 kids	who	as
      1 kids	should	develop
      1 kept	these	democratic
      1 kavanaugh	testimony_666_400	jpg
      1 Kavanaugh	testimony	was
      1 justice	wrote	in
      1 Justice	Earl	Warren
      1 just	property	but
      1 just	one	of
      1 just	how	recently
      1 just	as	later
      1 Just	as	citizens
      1 Judith	Miller	Peter
      1 judging	their	suitors
      1 judges	decreed	that
      1 jpg	More	from
      1 jpg	from	the
      1 jpg	books	and
      1 Journal	search	logo
      1 Journal	search	City
      1 Journal	RSS	Copyright
      1 Journal	on	YouTube
      1 Journal	on	Twitter
      1 Journal	on	Instagram
      1 Journal	on	Google
      1 Journal	on	Facebook
      1 Journal	is	a
      1 Journal	A	quarterly
      1 Jonathan	Rauch	the
      1 jokes	Some	cultures
      1 Johnny	whose	mother
      1 Johnny	pouted	His
      1 Johnny	but	such
      1 John	Tierney	Michael
      1 John	O	McGinnis
      1 John	Leo	Heather
      1 john	bogle_666_400	jpg
      1 John	Bogle	s
      1 John	Adams	wrote
      1 John	Adams	but
      1 Joel	Kotkin	John
      1 job	any	more
      1 Jefferson	put	it
      1 Jay	Fliegelman	has
      1 Janet	Brodie	s
      1 Jane	Austen	dramatize
      1 James	Wilson	or
      1 James	Wilson	a
      1 Jacksonian	period	the
      1 J	Totten	Adam
      1 itself	with	fostering
      1 itself	in	America
      1 its	victims	For
      1 its	twenties	and
      1 its	republican	offspring
      1 its	principles	to
      1 its	guises	as
      1 its	gravitas	back
      1 its	demand	that
      1 its	decision	on
      1 its	citizens	is
      1 it	would	be
      1 it	was	the
      1 it	was	supposed
      1 It	was	not
      1 it	was	also
      1 it	They	impatiently
      1 it	the	republican
      1 it	sounds	gays
      1 it	sick	in
      1 it	seems	America
      1 it	s	worth
      1 It	s	not
      1 It	s	Morning
      1 it	s	likely
      1 It	s	informed
      1 it	s	also
      1 it	remained	rare
      1 it	reinforces	the
      1 it	likes	especially
      1 it	It	s
      1 it	is	to
      1 it	is	the
      1 It	is	marriage
      1 It	is	logically
      1 it	is	exactly
      1 it	In	addition
      1 it	has	increased
      1 it	has	in
      1 it	has	definitively
      1 it	follows	directly
      1 it	feels	like
      1 it	even	further
      1 it	citizens	had
      1 it	certainly	protects
      1 it	as	an
      1 it	any	way
      1 it	also	presents
      1 it	also	had
      1 it	a	state
      1 it	a	sacramental
      1 it	a	public
      1 issue	urged	Americans
      1 is	to	be
      1 is	the	mechanism
      1 is	the	lesson
      1 is	the	institution
      1 is	the	best
      1 is	such	a
      1 is	something	higher
      1 is	shaky	as
      1 is	raised	An
      1 is	over	about
      1 is	one	of
      1 is	not	understood
      1 is	marriage	s
      1 is	logically	inescapable
      1 is	little	different
      1 is	intrinsically	a
      1 is	inseparable	from
      1 is	in	the
      1 is	for	Kay
      1 is	exactly	Is
      1 is	enough	to
      1 is	deeply	embedded
      1 is	central	to
      1 is	both	a
      1 is	as	these
      1 is	another	truth
      1 is	another	step
      1 is	another	reason
      1 is	adults	in
      1 is	actually	at
      1 is	a	publication
      1 is	a	contract
      1 is	a	character
      1 is	a	changing
      1 irrational	as	racism
      1 irony	is	that
      1 irony	carrie	nation
      1 involved	at	least
      1 involve	bearing	and
      1 invoke	the	black
      1 invoke	fragments	of
      1 invest	far	more
      1 introduced	as	a
      1 intrinsically	a	government
      1 intrinsic	personal	worth
      1 into	wedlock	it
      1 into	their	own
      1 into	the	wife
      1 into	the	twentieth
      1 into	the	service
      1 into	the	divorce
      1 into	public	life
      1 into	pieces	the
      1 into	one	of
      1 into	marriage	contracts
      1 into	many	state
      1 into	her	husband
      1 into	contracts	of
      1 into	a	single
      1 into	a	mortgage
      1 intimate	relationships	and
      1 intimate	relationship	between
      1 intimacy	which	renders
      1 interpreted	these	legal
      1 internalized	national	values
      1 intermarriage	were	a
      1 interested	in	the
      1 interest	it	has
      1 interest	in	upholding
      1 interest	in	the
      1 interest	in	protecting
      1 intent	on	solidifying
      1 intact	two	parent
      1 insurance	and	tax
      1 institutions	of	republican
      1 institution	too	varied
      1 institution	The	state
      1 institution	that	they
      1 institution	that	can
      1 institution	s	prohibition
      1 institution	retained	even
      1 institution	people	now
      1 institution	one	that
      1 institution	of	the
      1 institution	of	marriage
      1 institution	in	which
      1 institution	comes	from
      1 institution	another	injection
      1 institution	and	these
      1 Institute	Search	____________________
      1 Institute	recommended	that
      1 Institute	for	Policy
      1 Institute	edited	by
      1 Instead	of	being
      1 instead	of	being
      1 Instagram	City	Journal
      1 insofar	as	they
      1 insisted	yet	again
      1 insist	that	history
      1 inside	I	won
      1 inseparable	from	our
      1 innovations	as	part
      1 Innovation	The	Social
      1 Innovation	Texas	Other
      1 injustice	written	into
      1 injection	of	the
      1 initiative	they	wanted
      1 inheritance	rights	it
      1 inheritance	rights	and
      1 ingredient	in	the
      1 informed	their	model
      1 infant	mortality	rates
      1 inexorably	to	a
      1 inevitable	in	families
      1 inescapable	gay	marriage
      1 inequality	Too	often
      1 industrious	unit	just
      1 industrious	self	sufficient
      1 industrious	and	resourceful
      1 indomitable	self	sufficiency
      1 individuals	Young	people
      1 individuals	who	want
      1 individuals	the	greatest
      1 individuals	The	Founders
      1 individuals	in	those
      1 individual	rights	personal
      1 individual	rights	of
      1 individual	liberty	and
      1 individual	freedom	But
      1 individual	choice	would
      1 individual	child	than
      1 indicators	dismaying	for
      1 independent	industrious	and
      1 indeed	was	over
      1 increasingly	emphasizing	marriage
      1 increased	poverty	and
      1 including	Thomas	Paine
      1 including	marriage	they
      1 including	Alexis	de
      1 includes	giving	wives
      1 include	previously	marginalized
      1 inclined	to	see
      1 Inc	All	rights
      1 in	words	that
      1 in	which	large
      1 in	which	couples
      1 in	which	children
      1 in	Western	Europe
      1 in	was	a
      1 in	upholding	the
      1 in	those	relationships
      1 in	this	court
      1 in	this	country
      1 in	thinking	about
      1 in	their	twenties
      1 in	their	secular
      1 in	their	new
      1 in	their	late
      1 in	their	argument
      1 in	the	Washington
      1 in	the	treatment
      1 in	the	subject
      1 in	the	state
      1 in	the	sophisticated
      1 In	the	same
      1 in	the	republican
      1 in	the	recipe
      1 in	the	political
      1 In	the	old
      1 in	the	nineteenth
      1 in	the	new
      1 in	the	moral
      1 in	the	marriage
      1 in	the	late
      1 in	the	issue
      1 in	the	institution
      1 in	the	history
      1 in	the	first
      1 in	the	eye
      1 in	the	event
      1 in	the	days
      1 in	the	civil
      1 in	the	case
      1 in	the	American
      1 In	the	1972
      1 in	support	of
      1 in	still	others
      1 in	spirit	to
      1 in	single	parent
      1 in	school	career
      1 in	response	to
      1 in	protecting	marriage
      1 in	private	families
      1 in	particular	self
      1 in	particular	have
      1 in	part	as
      1 in	out	of
      1 in	our	history
      1 in	our	current
      1 in	our	culture
      1 in	others	the
      1 in	other	parts
      1 In	order	to
      1 in	one	poll
      1 in	on	one
      1 in	old	Europe
      1 in	Nineteenth	Century
      1 in	Mother	s
      1 in	more	communal
      1 in	mind	was
      1 in	marriage	rather
      1 in	marriage	as
      1 in	many	parts
      1 in	many	forms
      1 In	many	cultures
      1 in	Loving	v
      1 In	light	of
      1 in	Levittown	Though
      1 in	law	jokes
      1 in	its	twenties
      1 in	intact	two
      1 in	infant	mortality
      1 in	if	we
      1 in	his	diary
      1 in	his	decision
      1 in	front	of
      1 in	freedom	That
      1 in	fertility	as
      1 in	favor	of
      1 in	family	life
      1 in	families	in
      1 In	fact	the
      1 In	fact	gay
      1 in	every	state
      1 in	Europe	where
      1 in	each	individual
      1 In	detaching	us
      1 In	case	after
      1 in	an	unbroken
      1 in	an	ordinary
      1 in	an	amicus
      1 in	America	Here
      1 in	all	Western
      1 in	all	their
      1 in	all	its
      1 In	addition	to
      1 In	addition	they
      1 In	addition	the
      1 in	a	way
      1 in	a	state
      1 in	a	spirit
      1 in	a	general
      1 in	1849	This
      1 in	1839	He
      1 in	1800	to
      1 in	1790	Before
      1 in	1778	Here
      1 improvements	in	infant
      1 impressed	by	the
      1 important	republican	marriage
      1 important	pillar	in
      1 implored	I	won
      1 implicit	in	their
      1 impatiently	insist	that
      1 imagined	the	American
      1 illustrates	this	point
      1 Illinois	case	to
      1 illegitimacy	fracture	into
      1 illegitimacy	as	a
      1 Ignore	those	responsibilities
      1 IFRAME	https	www
      1 If	you	add
      1 if	we	forget
      1 if	the	young
      1 If	the	Fourteenth
      1 if	she	wasn
      1 If	republican	marriage
      1 If	marriage	was
      1 If	marriage	is
      1 if	it	was
      1 if	husbands	fork
      1 if	a	pillar
      1 identical	to	married
      1 ideas	were	still
      1 ideas	about	marriage
      1 ideals	the	divorce
      1 ideals	of	the
      1 ideals	of	individual
      1 ideal	which	we
      1 ideal	of	self
      1 ideal	of	marriage
      1 ideal	freedom	would
      1 ideal	and	still
      1 idea	to	the
      1 idea	that	gay
      1 idea	of	marriage
      1 id	GTM	N8CVZ65
      1 I	ve	something
      1 I	P	herb_london_666_400
      1 I	don	t
      1 I	divorce	you
      1 Hymowitz	The	Ford
      1 Hymowitz	Summer	2004
      1 Hymowitz	Politics	and
      1 Hymowitz	First	Man
      1 Hymowitz	first	man
      1 Hymowitz	Earlier	women
      1 Hymowitz	Andrew	Klavan
      1 hw	bush_666_400	jpg
      1 Husock	Kay	S
      1 husbands	the	primary
      1 husbands	fork	over
      1 husband	s	family
      1 husband	moves	into
      1 husband	a	parent
      1 hunger	for	til
      1 human	freedom	Every
      1 human	dignity	upon
      1 human	beings	have
      1 https	www	googletagmanager
      1 html	id	GTM
      1 however	Western	Europeans
      1 Howard	Husock	Kay
      1 how	recently	and
      1 how	haphazardly	Americans
      1 households	Unlike	the
      1 hordes	of	serfs
      1 Horace	Bushnell	wrote
      1 hoping	to	transform
      1 honored	beliefs	the
      1 homosexuals	When	a
      1 homosexuals	the	right
      1 homosexuals	And	it
      1 homosexual	sentiments	are
      1 homosexual	analogy	to
      1 homestead	or	going
      1 homes	share	the
      1 home	The	foundations
      1 home	in	others
      1 hold	in	old
      1 hitched	as	they
      1 History	they	argue
      1 history	republican	marriage
      1 history	politics	economics
      1 history	of	social
      1 history	of	Massachusetts
      1 History	of	Marriage
      1 history	of	marriage
      1 history	of	African
      1 history	is	enough
      1 history	In	the
      1 history	has	settled
      1 history	better	than
      1 history	at	all
      1 history	around	1968
      1 historical	evolution	of
      1 historical	background	in
      1 historical	analogy	between
      1 historians	of	marriage
      1 historian	Jay	Fliegelman
      1 his	wife	out
      1 his	son	inside
      1 his	servant	that
      1 his	mother	implored
      1 His	father	took
      1 his	diary	in
      1 his	decision	in
      1 him	to	come
      1 him	a	personal
      1 higher	than	the
      1 Here	s	why
      1 here	As	any
      1 Here	Adams	was
      1 herb_london_666_400	jpg	eye
      1 Herb	London	1939
      1 her	In	the
      1 her	husband	s
      1 helped	here	As
      1 help	ex	slaves
      1 heightened	valuation	of
      1 hearth	The	new
      1 hear	much	about
      1 hear	foreign	travelers
      1 hear	about	so
      1 health	insurance	and
      1 Health	Care	Publications
      1 he	witnessed	during
      1 He	watched	a
      1 he	should	marry
      1 he	says	fails
      1 he	loves	his
      1 he	lover	becomes
      1 having	little	to
      1 having	a	baby
      1 have	written	touchingly
      1 have	turned	positive
      1 have	trouble	understanding
      1 have	to	say
      1 have	the	same
      1 have	studied	any
      1 have	some	way
      1 have	single	parent
      1 have	shown	bring
      1 have	languages	to
      1 have	interpreted	these
      1 have	elaborated	on
      1 have	come	up
      1 have	been	inevitable
      1 have	been	disdainful
      1 have	become	a
      1 have	a	generation
      1 has	written	in
      1 has	undermined	that
      1 has	the	potential
      1 has	some	kind
      1 has	settled	the
      1 has	put	it
      1 has	produced	a
      1 has	opined	the
      1 has	observed	the
      1 has	nothing	to
      1 has	increased	poverty
      1 has	in	the
      1 has	expanded	over
      1 has	definitively	separated
      1 has	been	in
      1 has	been	a
      1 has	anything	to
      1 has	an	interest
      1 has	always	involved
      1 has	always	had
      1 has	always	governed
      1 has	always	been
      1 Harry	Stein	John
      1 harness	a	universal
      1 hard	turn	away
      1 haphazardly	Americans	closed
      1 Hanson	Howard	Husock
      1 half	of	their
      1 had	to	tolerate
      1 had	to	pass
      1 had	to	have
      1 had	to	be
      1 had	some	freedom
      1 had	never	married
      1 had	More	recently
      1 had	little	to
      1 had	kept	these
      1 had	internalized	national
      1 had	in	mind
      1 had	good	reason
      1 had	full	rights
      1 had	freely	chosen
      1 had	come	to
      1 had	called	him
      1 had	been	a
      1 had	as	American
      1 had	always	accepted
      1 had	already	made
      1 had	a	habit
      1 had	a	fundamental
      1 habits	of	freedom
      1 habits	of	attention
      1 habit	of	disappearing
      1 H	W	Bush
      1 Guy	Sorman	Harry
      1 guy	say	I
      1 guises	as	Jefferson
      1 guide	our	conclusions
      1 GTM	N8CVZ65	ERROR
      1 grueling	on	both
      1 groups	gays	now
      1 group	of	historians
      1 group	least	likely
      1 Ground	Health	in
      1 greatest	amount	of
      1 great	irony	is
      1 great	experiment	to
      1 Great	and	Good
      1 gravity	of	marriage
      1 gravitas	back	It
      1 grandparents	are	The
      1 government	weakens	Alongside
      1 government	was	a
      1 government	Unlike	the
      1 government	The	Founders
      1 government	Self	government
      1 government	it	also
      1 government	is	in
      1 government	concern	In
      1 government	also	meant
      1 governing	institutions	of
      1 governing	in	the
      1 governing	family	Republican
      1 governing	families	that
      1 governing	citizens	too
      1 governing	citizens	The
      1 governing	citizens	something
      1 governed	property	and
      1 got	it	sick
      1 googletagmanager	com	ns
      1 Google	Plus	Print
      1 Google	Plus	Close
      1 Google	Plus	City
      1 GoodFolk	Contact	Send
      1 good	reason	for
      1 Good	Man	Benjamin
      1 going	to	shape
      1 going	to	church
      1 goes	like	this
      1 goes	for	homosexuals
      1 goals	involve	bearing
      1 Glaeser	Victor	Davis
      1 giving	wives	more
      1 gives	an	enfeebled
      1 given	what	two
      1 given	the	state
      1 Given	the	political
      1 Given	that	marriage
      1 give	husbands	the
      1 getting	hitched	as
      1 get	well	you
      1 get	the	marital
      1 get	out	at
      1 get	its	gravitas
      1 get	children	to
      1 get	a	mortgage
      1 george	hw	bush_666_400
      1 George	H	W
      1 gentler	discipline	was
      1 generations	That	was
      1 generation	was	hoping
      1 generation	questions	a
      1 generation	of	self
      1 generation	of	its
      1 generation	now	in
      1 generation	for	which
      1 generally	treat	children
      1 general	way	that
      1 Gen	Xers	were
      1 Gen	Xers	that
      1 Gelinas	John	Bogle
      1 Gelinas	Edward	L
      1 gays	with	that
      1 gays	often	invoke
      1 gays	now	deserve
      1 gays	marry	each
      1 gays	hunger	for
      1 gays	and	the
      1 gay	unions	are
      1 Gay	marriage	threatens
      1 gay	marriage	that
      1 gay	marriage	than
      1 gay	marriage	seems
      1 Gay	marriage	represents
      1 gay	marriage	proponents
      1 gay	marriage	led
      1 Gay	Marriage	has
      1 Gay	marriage	gives
      1 gay	marriage	cite
      1 gay	marriage	but
      1 gay	marriage	a
      1 gay	advocates	civil
      1 gave	him	a
      1 future	that	projects
      1 future	citizens	American
      1 further	Share	on
      1 further	development	If
      1 funds	to	pay
      1 fundamental	universal	core
      1 fundamental	transformation	in
      1 fundamental	core	our
      1 fully	expressed	the
      1 fuller	recognition	of
      1 full	rights	to
      1 Full	Name	____________________
      1 frontier	family	became
      1 front	of	the
      1 from	what	other
      1 from	time	to
      1 from	the	state
      1 from	the	original
      1 from	the	old
      1 from	the	multifaceted
      1 from	taking	firm
      1 from	self	love
      1 from	personal	experience
      1 from	parenthood	indeed
      1 from	parenthood	For
      1 from	our	vision
      1 from	Kay	S
      1 from	its	demand
      1 from	denying	blacks
      1 from	authority	in
      1 from	arranged	marriages
      1 from	an	average
      1 from	American	principles
      1 from	a	strictly
      1 from	a	heightened
      1 frigid	observances	of
      1 frequently	compare	the
      1 freely	chosen	each
      1 freely	choose	their
      1 freely	According	to
      1 freedom	would	eventually
      1 freedom	within	that
      1 freedom	to	question
      1 freedom	That	reign
      1 freedom	So	whereas
      1 freedom	Every	society
      1 freedom	But	a
      1 free	to	choose
      1 free	from	authority
      1 free	from	arranged
      1 free	citizenship	and
      1 free	citizens	No
      1 Frederick	Marryat	wrote
      1 Fred	Siegel	Guy
      1 fraying	of	the
      1 fraught	decisions	For
      1 fragments	of	the
      1 fracture	into	pieces
      1 Fox	TV	s
      1 Fourteenth	Amendment	s
      1 Fourteenth	Amendment	protects
      1 founding	thinkers	were
      1 founding	thinkers	like
      1 Founding	these	modern
      1 Founders	wanted	to
      1 Founders	vision	The
      1 Founders	understood	that
      1 Founders	thought	marriage
      1 Founders	recognized	the
      1 Founders	probably	didn
      1 Founders	Marriage	was
      1 Founders	ideals	the
      1 Founders	ideals	of
      1 Founders	had	in
      1 Founders	expected	the
      1 Founders	expect	that
      1 Founders	envisioned	too
      1 Founders	envisioned	a
      1 Founders	did	not
      1 Founders	brought	a
      1 Founders	believed	that
      1 foundations	of	national
      1 found	that	Gen
      1 found	in	one
      1 fostering	the	institution
      1 forward	in	an
      1 fortunes	and	acres
      1 forms	of	marriage
      1 forms	is	another
      1 form	of	marriage
      1 form	below	This
      1 fork	over	most
      1 forgets	what	the
      1 forget	that	marriage
      1 foresee	republican	children
      1 foreign	travelers	of
      1 ford	kavanaugh	testimony_666_400
      1 Ford	Kavanaugh	testimony
      1 for	you	his
      1 for	which	gay
      1 for	welfare	payments
      1 for	troubled	couples
      1 for	til	death
      1 for	they	understood
      1 for	themselves	with
      1 for	their	own
      1 for	the	nation
      1 For	the	generation
      1 for	the	Common
      1 for	the	children
      1 for	the	childhood
      1 for	stable	relationships
      1 for	rugged	and
      1 for	reasons	that
      1 for	rearing	the
      1 for	providing	the
      1 for	providing	for
      1 for	promoting	that
      1 for	Policy	Research
      1 for	much	of
      1 For	most	of
      1 for	marriage	to
      1 for	life	in
      1 for	Kay	S
      1 For	if	the
      1 for	homosexuals	And
      1 for	gays	hunger
      1 for	Email	Alerts
      1 for	doing	so
      1 for	distributing	health
      1 for	determining	custody
      1 for	decades	have
      1 for	creating	independent
      1 for	children	of
      1 for	and	socialize
      1 for	absolute	fearful
      1 for	a	more
      1 for	a	fuller
      1 food	and	the
      1 follows	since	the
      1 follows	directly	from
      1 Fliegelman	has	observed
      1 flew	open	and
      1 fit	the	evolving
      1 fit	into	a
      1 firsthand	what	it
      1 first	place	it
      1 first	man	masculinity_666_400
      1 First	Man	celebrates
      1 firm	hold	in
      1 fireplace	Rauch	and
      1 finally	ruled	that
      1 filled	magazines	and
      1 fight	for	gay
      1 Few	of	them
      1 fertility	as	the
      1 Felder	and	others
      1 feels	like	when
      1 feelings	of	a
      1 federal	marriage	initiative
      1 fearful	obedience	that
      1 feared	either	external
      1 favor	of	gay
      1 favor	a	return
      1 Fathers	who	had
